[INFO ] 2023-01-31T06:59:37,859Z [Test worker] internal.TestCordappImpl. - Generating CorDapp jar from local project in /Users/peter.li/Desktop/obligation-cordapp/workflows ... {}
[INFO ] 2023-01-31T06:59:38,064Z [Connection worker] internal.TestCordappImpl. - Build {}
[INFO ] 2023-01-31T06:59:39,207Z [Connection worker] internal.TestCordappImpl. - Starting Gradle Daemon {}
[INFO ] 2023-01-31T06:59:40,021Z [Connection worker] internal.TestCordappImpl. - Connecting to Gradle Daemon {}
[INFO ] 2023-01-31T06:59:40,033Z [Connection worker] internal.TestCordappImpl. - Starting Gradle Daemon {}
[INFO ] 2023-01-31T06:59:40,034Z [Connection worker] internal.TestCordappImpl. - Build {}
[INFO ] 2023-01-31T06:59:40,570Z [Connection worker] internal.TestCordappImpl. - Run build {}
[INFO ] 2023-01-31T06:59:40,591Z [Connection worker] internal.TestCordappImpl. - Evaluate settings {}
[INFO ] 2023-01-31T06:59:41,032Z [Connection worker] internal.TestCordappImpl. - Run build {}
[INFO ] 2023-01-31T06:59:41,042Z [Connection worker] internal.TestCordappImpl. - Configure build {}
[INFO ] 2023-01-31T06:59:41,042Z [Connection worker] internal.TestCordappImpl. - Load projects {}
[INFO ] 2023-01-31T06:59:41,208Z [Connection worker] internal.TestCordappImpl. - Configure build {}
[INFO ] 2023-01-31T06:59:41,208Z [Connection worker] internal.TestCordappImpl. - Configure project : {}
[INFO ] 2023-01-31T06:59:41,785Z [Connection worker] internal.TestCordappImpl. - Resolve dependencies of :classpath {}
[INFO ] 2023-01-31T06:59:42,217Z [Connection worker] internal.TestCordappImpl. - Configure project : {}
[INFO ] 2023-01-31T06:59:42,217Z [Connection worker] internal.TestCordappImpl. - Resolve files of :classpath {}
[INFO ] 2023-01-31T06:59:42,251Z [Connection worker] internal.TestCordappImpl. - Configure project : {}
[INFO ] 2023-01-31T06:59:42,261Z [Connection worker] internal.TestCordappImpl. - Resolve files of :classpath {}
[INFO ] 2023-01-31T06:59:42,261Z [Connection worker] internal.TestCordappImpl. - Configure project : {}
[INFO ] 2023-01-31T06:59:43,373Z [Connection worker] internal.TestCordappImpl. - Configure build {}
[INFO ] 2023-01-31T06:59:43,373Z [Connection worker] internal.TestCordappImpl. - Configure project :clients {}
